r, g, b, x, y, z, L1, a1, b1, new_x, new_y, new_z, L2, a2, b2, percentage, d
0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 30 0.0
0 0 8 0.068 0.022 0.353 0.039 8.303 -10.2 0.052 0.017 0.271 0.03 7.607 -9.346 30 1.101
0 0 16 0.18 0.058 0.942 0.105 11.519 -14.152 0.139 0.045 0.724 0.081 10.555 -12.967 30 1.528
0 0 24 0.435 0.14 2.272 0.254 15.449 -18.98 0.335 0.108 1.748 0.195 14.156 -17.391 30 2.05
0 0 32 0.802 0.259 4.188 0.468 18.943 -23.273 0.617 0.199 3.222 0.36 17.357 -21.324 30 2.515
0 0 40 1.239 0.4 6.47 0.723 21.898 -26.903 0.953 0.307 4.977 0.556 20.065 -24.65 30 2.91
0 0 48 1.82 0.587 9.503 1.061 24.892 -30.581 1.4 0.452 7.31 0.816 22.808 -28.02 30 3.311
0 0 56 2.583 0.833 13.487 1.506 27.974 -34.367 1.987 0.641 10.374 1.159 25.631 -31.489 30 3.727
0 0 64 3.551 1.146 18.542 2.071 31.105 -38.215 2.732 0.881 14.263 1.593 28.501 -35.015 30 4.154
0 0 72 4.661 1.503 24.334 2.718 34.056 -41.839 3.585 1.156 18.719 2.091 31.204 -38.335 30 4.561
0 0 80 6.014 1.94 31.399 3.507 37.076 -45.549 4.626 1.492 24.153 2.697 33.971 -41.735 30 4.984
0 0 88 7.637 2.463 39.873 4.453 40.149 -49.325 5.875 1.895 30.671 3.425 36.787 -45.195 30 5.424
0 0 96 9.526 3.073 49.734 5.554 43.218 -53.096 7.327 2.364 38.257 4.273 39.599 -48.65 30 5.874
0 0 104 11.655 3.76 60.852 6.796 46.225 -56.79 8.966 2.892 46.809 5.228 42.354 -52.034 30 6.329
0 0 112 14.014 4.52 73.169 8.17 49.154 -60.388 10.78 3.477 56.284 6.286 45.038 -55.331 30 6.787
0 0 120 16.53 5.332 86.303 9.538 51.935 -63.805 12.715 4.101 66.387 7.414 47.586 -58.462 30 7.209
0 0 128 19.214 6.198 100.318 10.851 54.606 -67.087 14.78 4.768 77.168 8.603 50.034 -61.469 30 7.585
0 0 136 22.335 7.205 116.614 12.233 57.416 -70.539 17.181 5.542 89.703 9.869 52.608 -64.632 30 7.975
0 0 144 25.53 8.235 133.291 13.519 60.032 -73.752 19.638 6.334 102.532 11.047 55.005 -67.576 30 8.338
0 0 152 28.761 9.277 150.16 14.715 62.464 -76.741 22.123 7.136 115.507 12.143 57.234 -70.315 30 8.676
0 0 160 32.066 10.343 167.419 15.85 64.771 -79.575 24.666 7.956 128.784 13.183 59.348 -72.912 30 8.996
0 0 168 35.482 11.445 185.253 16.943 66.994 -82.306 27.294 8.804 142.503 14.184 61.384 -75.414 30 9.305
0 0 176 39.026 12.588 203.758 18.005 69.154 -84.96 30.02 9.683 156.737 15.158 63.363 -77.845 30 9.605
0 0 184 42.757 13.792 223.235 19.056 71.291 -87.585 32.89 10.609 171.72 16.12 65.321 -80.251 30 9.902
0 0 192 46.871 15.119 244.717 20.146 73.508 -90.309 36.055 11.63 188.244 17.119 67.353 -82.747 30 10.21
0 0 200 52.311 16.873 273.117 21.494 76.249 -93.676 40.239 12.98 210.09 18.354 69.864 -85.831 30 10.591
0 0 208 58.23 18.783 304.02 22.857 79.022 -97.083 44.792 14.448 233.862 19.603 72.405 -88.953 30 10.976
0 0 216 64.61 20.841 337.329 24.228 81.809 -100.507 49.7 16.031 259.484 20.859 74.958 -92.09 30 11.363
0 0 224 71.287 22.994 372.19 25.568 84.535 -103.856 54.836 17.688 286.3 22.087 77.456 -95.159 30 11.742
0 0 232 77.414 24.971 404.181 26.727 86.891 -106.75 59.549 19.208 310.909 23.149 79.615 -97.811 30 12.069
0 0 240 83.489 26.93 435.897 27.816 89.107 -109.472 64.222 20.715 335.306 24.147 81.645 -100.305 30 12.376
0 0 248 90.95 29.337 474.852 29.084 91.686 -112.641 69.961 22.567 365.271 25.309 84.008 -103.208 30 12.735
0 8 0 0.084 0.236 0.015 0.426 -11.024 9.601 0.065 0.181 0.011 0.328 -10.101 8.797 30 1.228
0 8 8 0.152 0.258 0.367 0.466 -6.149 -1.44 0.117 0.198 0.283 0.358 -5.634 -1.319 30 0.54
0 8 16 0.265 0.294 0.956 0.531 -1.053 -7.284 0.204 0.226 0.736 0.409 -0.965 -6.674 30 0.628
0 8 24 0.52 0.376 2.287 0.68 5.647 -13.955 0.4 0.289 1.759 0.523 5.174 -12.786 30 1.27
0 8 32 0.887 0.494 4.203 0.894 11.272 -19.449 0.682 0.38 3.233 0.688 10.328 -17.82 30 1.894
0 8 40 1.324 0.635 6.484 1.149 15.659 -23.835 1.018 0.489 4.988 0.884 14.348 -21.839 30 2.403
0 8 48 1.904 0.823 9.517 1.487 19.791 -28.094 1.465 0.633 7.321 1.144 18.133 -25.742 30 2.898
0 8 56 2.668 1.069 13.501 1.932 23.78 -32.335 2.052 0.822 10.386 1.486 21.789 -29.627 30 3.391
0 8 64 3.636 1.381 18.557 2.497 27.625 -36.534 2.797 1.063 14.275 1.921 25.312 -33.475 30 3.879
0 8 72 4.745 1.739 24.349 3.144 31.102 -40.417 3.65 1.338 18.73 2.418 28.497 -37.032 30 4.332
0 8 80 6.098 2.176 31.414 3.933 34.552 -44.336 4.691 1.674 24.165 3.025 31.659 -40.624 30 4.794
0 8 88 7.721 2.699 39.887 4.879 37.976 -48.282 5.94 2.076 30.683 3.753 34.796 -44.239 30 5.266
0 8 96 9.61 3.308 49.749 5.98 41.33 -52.191 7.392 2.545 38.268 4.6 37.869 -47.82 30 5.743
