r, g, b, x, y, z, L1, a1, b1, new_x, new_y, new_z, L2, a2, b2, percentage, d
0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 30 0.0
0 0 8 0.017 0.005 0.088 0.01 5.23 -6.426 0.013 0.004 0.068 0.008 4.792 -5.888 30 0.694
0 0 16 0.045 0.015 0.235 0.026 7.257 -8.915 0.035 0.011 0.181 0.02 6.649 -8.169 30 0.963
0 0 24 0.109 0.035 0.568 0.063 9.733 -11.957 0.084 0.027 0.437 0.049 8.918 -10.956 30 1.291
0 0 32 0.201 0.065 1.047 0.117 11.934 -14.661 0.154 0.05 0.805 0.09 10.934 -13.433 30 1.583
0 0 40 0.31 0.1 1.617 0.181 13.795 -16.948 0.238 0.077 1.244 0.139 12.64 -15.529 30 1.83
0 0 48 0.455 0.147 2.376 0.265 15.681 -19.265 0.35 0.113 1.827 0.204 14.368 -17.652 30 2.081
0 0 56 0.646 0.208 3.372 0.377 17.622 -21.65 0.497 0.16 2.594 0.29 16.147 -19.837 30 2.339
0 0 64 0.888 0.286 4.636 0.518 19.595 -24.074 0.683 0.22 3.566 0.398 17.954 -22.058 30 2.602
0 0 72 1.165 0.376 6.084 0.679 21.454 -26.357 0.896 0.289 4.68 0.523 19.657 -24.15 30 2.85
0 0 80 1.503 0.485 7.85 0.877 23.356 -28.694 1.157 0.373 6.038 0.674 21.4 -26.291 30 3.105
0 0 88 1.909 0.616 9.968 1.113 25.292 -31.073 1.469 0.474 7.668 0.856 23.174 -28.471 30 3.365
0 0 96 2.381 0.768 12.434 1.389 27.226 -33.448 1.832 0.591 9.564 1.068 24.946 -30.647 30 3.626
0 0 104 2.914 0.94 15.213 1.699 29.12 -35.775 2.241 0.723 11.702 1.307 26.681 -32.779 30 3.883
0 0 112 3.504 1.13 18.292 2.043 30.965 -38.042 2.695 0.869 14.071 1.571 28.372 -34.857 30 4.135
0 0 120 4.132 1.333 21.576 2.41 32.717 -40.194 3.179 1.025 16.597 1.854 29.977 -36.829 30 4.375
0 0 128 4.804 1.549 25.08 2.801 34.4 -42.262 3.695 1.192 19.292 2.155 31.519 -38.723 30 4.609
0 0 136 5.584 1.801 29.153 3.256 36.17 -44.436 4.295 1.385 22.426 2.505 33.141 -40.715 30 4.856
0 0 144 6.382 2.059 33.323 3.721 37.818 -46.461 4.91 1.584 25.633 2.863 34.651 -42.571 30 5.09
0 0 152 7.19 2.319 37.54 4.192 39.35 -48.344 5.531 1.784 28.877 3.225 36.055 -44.295 30 5.309
0 0 160 8.017 2.586 41.855 4.674 40.803 -50.129 6.167 1.989 32.196 3.596 37.387 -45.931 30 5.519
0 0 168 8.871 2.861 46.313 5.172 42.204 -51.85 6.823 2.201 35.626 3.979 38.67 -47.508 30 5.724
0 0 176 9.757 3.147 50.939 5.689 43.565 -53.521 7.505 2.421 39.184 4.376 39.916 -49.04 30 5.926
0 0 184 10.689 3.448 55.809 6.233 44.911 -55.175 8.222 2.652 42.93 4.794 41.15 -50.555 30 6.129
0 0 192 11.718 3.78 61.179 6.833 46.307 -56.891 9.014 2.907 47.061 5.256 42.43 -52.127 30 6.342
0 0 200 13.078 4.218 68.279 7.625 48.034 -59.012 10.06 3.245 52.523 5.866 44.011 -54.07 30 6.61
0 0 208 14.557 4.696 76.005 8.479 49.781 -61.159 11.198 3.612 58.465 6.529 45.612 -56.037 30 6.885
0 0 216 16.152 5.21 84.332 9.342 51.536 -63.315 12.425 4.008 64.871 7.245 47.221 -58.013 30 7.151
0 0 224 17.822 5.749 93.047 10.186 53.254 -65.425 13.709 4.422 71.575 7.994 48.794 -59.946 30 7.397
0 0 232 19.354 6.243 101.045 10.916 54.738 -67.248 14.887 4.802 77.727 8.662 50.154 -61.617 30 7.603
0 0 240 20.872 6.733 108.974 11.602 56.134 -68.963 16.056 5.179 83.826 9.291 51.433 -63.188 30 7.797
0 0 248 22.737 7.334 118.713 12.401 57.758 -70.959 17.49 5.642 91.318 10.023 52.922 -65.017 30 8.022
0 8 0 0.021 0.059 0.004 0.107 -6.944 6.048 0.016 0.045 0.003 0.082 -6.363 5.542 30 0.772
0 8 8 0.038 0.064 0.092 0.116 -3.873 -0.907 0.029 0.05 0.071 0.09 -3.549 -0.831 30 0.334
0 8 16 0.066 0.073 0.239 0.133 -0.663 -4.589 0.051 0.057 0.184 0.102 -0.608 -4.204 30 0.389
0 8 24 0.13 0.094 0.572 0.17 3.558 -8.791 0.1 0.072 0.44 0.131 3.26 -8.055 30 0.795
0 8 32 0.222 0.124 1.051 0.223 7.101 -12.252 0.17 0.095 0.808 0.172 6.507 -11.226 30 1.187
0 8 40 0.331 0.159 1.621 0.287 9.865 -15.015 0.255 0.122 1.247 0.221 9.039 -13.758 30 1.506
0 8 48 0.476 0.206 2.379 0.372 12.467 -17.698 0.366 0.158 1.83 0.286 11.423 -16.216 30 1.815
0 8 56 0.667 0.267 3.375 0.483 14.98 -20.369 0.513 0.206 2.596 0.372 13.726 -18.664 30 2.12
0 8 64 0.909 0.345 4.639 0.624 17.403 -23.015 0.699 0.266 3.569 0.48 15.945 -21.088 30 2.421
0 8 72 1.186 0.435 6.087 0.786 19.593 -25.461 0.913 0.334 4.682 0.605 17.952 -23.329 30 2.696
0 8 80 1.525 0.544 7.853 0.983 21.766 -27.93 1.173 0.418 6.041 0.756 19.944 -25.591 30 2.974
0 8 88 1.93 0.675 9.972 1.22 23.924 -30.416 1.485 0.519 7.671 0.938 21.92 -27.869 30 3.253
0 8 96 2.403 0.827 12.437 1.495 26.036 -32.878 1.848 0.636 9.567 1.15 23.856 -30.125 30 3.529
0 8 104 2.935 0.999 15.217 1.806 28.075 -35.274 2.258 0.768 11.705 1.389 25.724 -32.321 30 3.798
0 8 112 3.525 1.189 18.296 2.149 30.037 -37.598 2.711 0.915 14.074 1.653 27.522 -34.449 30 4.06
0 8 120 4.154 1.392 21.579 2.516 31.883 -39.795 3.195 1.071 16.6 1.935 29.213 -36.463 30 4.309
0 8 128 4.825 1.608 25.083 2.907 33.644 -41.9 3.711 1.237 19.295 2.236 30.826 -38.392 30 4.55
0 8 136 5.605 1.86 29.157 3.362 35.485 -44.109 4.312 1.431 22.429 2.586 32.513 -40.415 30 4.804
0 8 144 6.404 2.118 33.326 3.828 37.19 -46.161 4.926 1.629 25.636 2.945 34.076 -42.295 30 5.042
0 8 152 7.211 2.378 37.544 4.299 38.77 -48.066 5.547 1.829 28.88 3.307 35.523 -44.041 30 5.265
0 8 160 8.038 2.645 41.858 4.781 40.263 -49.871 6.183 2.034 32.199 3.678 36.891 -45.695 30 5.48
0 8 168 8.892 2.92 46.317 5.279 41.698 -51.608 6.84 2.246 35.628 4.061 38.206 -47.286 30 5.688
0 8 176 9.778 3.206 50.943 5.795 43.09 -53.294 7.521 2.466 39.187 4.458 39.481 -48.832 30 5.893
0 8 184 10.71 3.507 55.813 6.339 44.464 -54.962 8.239 2.698 42.933 4.876 40.74 -50.359 30 6.098
0 8 192 11.739 3.839 61.183 6.939 45.887 -56.69 9.03 2.953 47.064 5.338 42.044 -51.943 30 6.314
0 8 200 13.099 4.277 68.283 7.732 47.642 -58.825 10.076 3.29 52.525 5.948 43.653 -53.899 30 6.585
0 8 208 14.579 4.755 76.009 8.581 49.416 -60.984 11.214 3.657 58.468 6.611 45.278 -55.878 30 6.862
0 8 216 16.174 5.269 84.336 9.437 51.196 -63.153 12.441 4.053 64.874 7.327 46.909 -57.864 30 7.127
0 8 224 17.843 5.807 93.051 10.276 52.935 -65.273 13.725 4.467 71.578 8.075 48.502 -59.807 30 7.373
0 8 232 19.375 6.302 101.049 11.001 54.436 -67.104 14.904 4.847 77.73 8.739 49.877 -61.485 30 7.581
